time,elapsed_seconds,message
22:26:02,2.09e-05,done REDSVD
22:26:02,3.76e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,1.3e-05,JS
22:26:02,0.0011898,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:26:02,0.0022406,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,3.5e-05,commencing SVD factorization of lambda-scaled JtQJ
22:26:02,1.57e-05,starting REDSVD
22:26:02,0.0006109,retrieving REDSVD components
22:26:02,3.64e-05,triming REDSVD components to 9elements
22:26:02,2.2e-05,done REDSVD
22:26:02,1.55e-05,SVD factorization complete
22:26:02,0.000701,commencing linear algebra multiplication to compute ugrade
22:26:02,2.34e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,1.68e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,1.65e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.0031983,linear algebra multiplication to compute ugrade complete
22:26:02,0.0002816,commencing check of parameter bounds and gradients
22:26:02,5.88e-05,commencing calculation of upgrade vector
22:26:02,0.0266934,forming JtQJ matrix
22:26:02,0.0026099,commencing to scale JtQJ matrix- first SVD...
22:26:02,0.0001048,starting REDSVD
22:26:02,0.0004652,retrieving REDSVD components
22:26:02,4.25e-05,triming REDSVD components to 9elements
22:26:02,2.11e-05,done REDSVD
22:26:02,4.52e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,1.3e-05,JS
22:26:02,0.0013346,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:26:02,0.0023943,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,4.04e-05,commencing SVD factorization of lambda-scaled JtQJ
22:26:02,1.52e-05,starting REDSVD
22:26:02,0.0004622,retrieving REDSVD components
22:26:02,3.7e-05,triming REDSVD components to 9elements
22:26:02,1.74e-05,done REDSVD
22:26:02,1.33e-05,SVD factorization complete
22:26:02,0.0005978,commencing linear algebra multiplication to compute ugrade
22:26:02,1.9e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,1.53e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,1.61e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.0023871,linear algebra multiplication to compute ugrade complete
22:26:02,0.0003297,commencing check of parameter bounds
22:26:02,3.78e-05,limiting out of bounds pars
