obsnme,obsval,weight,obgnme
g_5163_20090414,-21.4852885,1,g_5163
g_5163_20090415,-21.649563,1,g_5163
g_5163_20090416,-21.6314655,1,g_5163
g_5163_20090417,-21.37260775,1,g_5163
g_5163_20090418,-20.91966225,1,g_5163
g_5163_20090419,-20.7439895,1,g_5163
g_5163_20090420,-20.82847625,1,g_5163
g_5163_20090421,-21.027517,1,g_5163
g_5163_20090422,-21.27570675,1,g_5163
g_5163_20090423,-21.53618375,1,g_5163
g_5163_20090424,-21.7687525,1,g_5163
g_5163_20090425,-21.81145625,1,g_5163
g_5163_20090426,-21.79932775,1,g_5163
g_5163_20090427,-21.90638875,1,g_5163
g_5163_20090428,-21.71576175,1,g_5163
g_5163_20090429,-21.586444,1,g_5163
g_5163_20090430,-21.63175125,1,g_5163
g_5163_20090501,-21.71715875,1,g_5163
g_5163_20090502,-21.80717,1,g_5163
g_5163_20090503,-21.90200725,1,g_5163
g_5163_20090504,-22.28300725,1,g_5163
g_5163_20090505,-22.4875725,1,g_5163
g_5163_20090506,-22.70115475,1,g_5163
g_5163_20090507,-23.02881475,1,g_5163
g_5163_20090508,-23.3001185,1,g_5163
g_5163_20090509,-23.47087,1,g_5163
g_5163_20090510,-23.5572935,1,g_5163
g_5163_20090511,-23.80351475,1,g_5163
g_5163_20090512,-24.12984125,1,g_5163
g_5163_20090513,-24.349075,1,g_5163
g_5163_20090514,-24.53312975,1,g_5163
g_5163_20090515,-24.6912765,1,g_5163
g_5163_20090516,-24.49756975,1,g_5163
g_5163_20090517,-23.824692,1,g_5163
g_5163_20090518,-23.64698725,1,g_5163
g_5163_20090519,-23.56361175,1,g_5163
g_5163_20090520,-23.540339,1,g_5163
g_5163_20090521,-23.528909,1,g_5163
g_5163_20090522,-23.612475,1,g_5163
g_5163_20090523,-23.4145455,1,g_5163
g_5163_20090524,-22.99617575,1,g_5163
g_5163_20090525,-22.745954,1,g_5163
g_5163_20090526,-22.60196775,1,g_5163
g_5163_20090527,-22.4135315,1,g_5163
g_5163_20090528,-22.3736535,1,g_5163
g_5163_20090529,-22.450298,1,g_5163
g_5163_20090530,-22.50125675,1,g_5163
g_5163_20090531,-22.5338005,1,g_5163
g_5163_20090601,-22.81780425,1,g_5163
g_5163_20090602,-23.049357,1,g_5163
g_5163_20090603,-23.0834565,1,g_5163
g_5163_20090604,-22.92613525,1,g_5163
g_5163_20090605,-22.95820275,1,g_5163
g_5163_20090606,-22.97433175,1,g_5163
g_5163_20090607,-22.9991285,1,g_5163
g_5163_20090608,-23.326852,1,g_5163
g_5163_20090609,-23.68680175,1,g_5163
g_5163_20090610,-24.1865785,1,g_5163
g_5163_20090611,-24.3144675,1,g_5163
g_5163_20090612,-24.51903275,1,g_5163
g_5163_20090613,-24.8182765,1,g_5163
g_5163_20090614,-24.9160665,1,g_5163
g_5163_20090615,-25.331801,1,g_5163
g_5163_20090616,-25.68120975,1,g_5163
g_5163_20090617,-25.952704,1,g_5163
g_5163_20090618,-26.12901175,1,g_5163
g_5163_20090619,-26.22153125,1,g_5163
g_5163_20090620,-26.20464025,1,g_5163
g_5163_20090621,-26.145871,1,g_5163
g_5163_20090622,-26.44174925,1,g_5163
g_5163_20090623,-26.8128115,1,g_5163
g_5163_20090624,-27.052016,1,g_5163
